iter	Passed	Remaining
144	225	1329
145	226	1325
146	227	1320
147	228	1313
148	228	1306
149	229	1300
150	230	1294
151	230	1288
152	231	1282
153	232	1276
154	233	1270
155	233	1264
156	234	1258
157	235	1252
158	235	1246
159	236	1240
160	236	1234
161	237	1229
162	238	1224
163	239	1219
164	240	1215
165	240	1209
166	241	1204
167	242	1199
168	242	1193
169	243	1188
170	244	1183
171	244	1178
172	245	1173
173	246	1168
174	246	1163
175	247	1158
176	248	1153
177	248	1149
178	249	1144
179	250	1140
180	250	1134
181	251	1130
182	252	1126
183	252	1121
184	253	1118
185	254	1113
186	255	1109
187	255	1104
188	256	1100
189	257	1095
190	257	1091
191	258	1087
192	259	1083
193	259	1079
194	260	1074
195	261	1070
196	261	1066
197	262	1062
198	263	1059
199	263	1055
200	264	1052
201	265	1048
202	266	1044
203	266	1041
204	267	1037
205	268	1033
206	268	1029
207	269	1025
208	270	1022
209	270	1018
210	271	1015
211	272	1011
212	272	1007
213	273	1004
214	274	1000
215	274	997
216	275	994
217	276	991
218	277	988
219	277	985
220	278	982
221	279	979
222	280	976
223	280	973
224	281	970
225	282	966
226	282	963
227	283	960
228	284	956
229	284	953
230	285	950
231	286	947
232	286	944
233	287	941
234	288	938
235	289	935
236	290	933
237	290	930
238	291	927
239	292	924
240	292	921
241	293	918
242	294	916
243	294	913
244	295	910
245	296	907
246	296	904
247	297	901
248	297	898
249	298	895
250	299	892
251	299	889
252	300	887
253	301	884
254	302	882
255	302	880
256	303	877
257	304	875
258	304	872
259	305	869
260	306	866
261	306	864
262	307	861
263	308	859
264	308	856
265	309	854
266	310	851
267	310	849
268	311	846
269	312	843
270	312	841
271	313	839
272	314	836
273	315	835
274	316	833
275	316	830
276	317	828
277	317	825
278	318	823
279	319	821
280	320	818
281	320	816
282	321	814
283	322	811
284	322	809
285	323	807
286	323	804
287	324	802
288	325	800
289	326	798
290	326	796
291	327	794
292	328	792
293	329	790
294	329	788
295	330	785
296	331	783
297	331	781
298	332	779
299	333	777
300	333	775
301	334	772
302	335	770
303	335	768
304	336	766
305	337	764
306	337	762
307	338	760
308	339	758
309	339	756
310	340	755
311	341	753
312	342	751
313	342	749
314	343	747
315	344	744
316	344	743
317	345	741
318	346	739
319	346	737
320	347	735
321	348	733
322	348	731
323	349	729
324	350	727
325	350	725
326	351	723
327	352	722
328	353	720
329	353	718
330	354	716
331	355	714
332	355	712
333	356	710
334	357	708
335	357	707
336	358	705
337	359	703
338	359	701
339	360	699
340	361	697
341	361	696
342	362	694
343	363	692
344	363	691
345	364	689
346	365	688
347	366	686
348	366	684
349	367	682
350	368	680
351	368	678
352	369	677
353	370	675
354	370	673
355	371	671
356	372	670
357	372	668
358	373	666
359	373	664
360	374	663
361	375	661
362	376	660
363	377	658
364	378	657
365	379	656
366	379	655
367	380	653
368	381	652
369	381	650
370	382	648
371	383	647
372	384	645
373	384	643
374	385	642
375	385	640
376	386	638
377	387	637
378	388	635
379	388	634
380	389	632
381	390	631
382	390	629
383	391	628
384	392	626
385	393	625
386	393	623
387	394	622
388	395	620
389	395	618
390	396	617
391	397	615
392	397	614
393	398	612
394	399	611
395	399	609
396	400	608
397	401	606
398	401	605
399	402	603
400	403	602
401	404	601
402	404	599
403	405	598
404	406	596
405	406	595
406	407	593
407	408	592
408	408	590
409	409	589
410	410	587
411	410	586
412	411	584
413	412	583
414	412	581
415	413	580
416	414	579
417	414	577
418	416	576
419	416	575
420	417	574
421	418	572
422	418	571
423	419	570
424	420	568
425	420	567
426	421	565
427	422	564
428	422	562
429	423	561
430	424	559
431	424	558
432	425	557
433	426	555
434	427	555
435	428	554
436	429	553
437	430	552
438	430	550
439	431	549
440	432	547
441	432	546
442	433	545
443	434	543
444	435	542
445	435	541
446	436	539
447	436	538
448	437	537
449	438	535
450	439	534
451	439	533
452	440	532
453	441	531
454	442	529
455	442	528
456	443	527
457	444	525
458	444	524
459	445	523
460	446	521
461	446	520
462	447	519
463	448	517
464	448	516
465	449	515
466	450	513
467	450	512
468	451	511
469	452	510
470	453	508
471	453	507
472	454	506
473	455	505
474	455	503
475	456	502
476	457	501
477	457	500
478	458	498
479	459	497
480	459	496
481	460	495
482	461	493
483	461	492
484	462	491
485	463	490
486	463	488
487	464	487
488	465	486
489	466	485
490	467	484
491	467	483
492	468	481
493	469	480
494	469	479
495	470	478
496	471	476
497	471	475
498	472	474
499	473	473
500	473	471
501	474	470
502	475	469
503	475	468
504	476	467
505	477	465
506	477	464
507	478	463
508	479	462
509	480	461
510	481	460
511	481	459
512	482	458
513	483	456
514	483	455
515	484	454
516	485	453
517	485	452
518	486	451
519	487	449
520	488	448
521	488	447
522	489	446
523	490	445
524	491	444
525	492	443
526	492	442
527	493	441
528	494	440
529	495	439
530	495	437
531	496	436
532	497	435
533	497	434
534	498	433
535	499	432
536	500	431
537	500	430
538	501	428
539	502	427
540	503	426
541	504	426
542	505	425
543	505	423
544	506	422
545	507	421
546	507	420
547	508	419
548	509	418
549	510	417
550	510	416
551	511	415
552	512	414
553	513	413
554	513	411
555	514	410
556	515	409
557	516	408
558	517	407
559	517	406
560	518	405
561	519	404
562	519	403
563	520	402
564	521	401
565	521	400
566	522	399
567	523	398
568	524	396
569	524	395
570	525	394
571	526	393
572	526	392
573	527	391
574	528	390
575	529	389
576	530	388
577	530	387
578	531	386
579	532	385
580	533	384
581	533	383
582	534	382
583	535	381
584	535	380
585	536	379
586	537	377
587	538	377
588	538	376
589	539	374
590	540	373
591	541	373
592	542	372
593	542	371
594	543	370
595	544	368
596	545	367
597	545	366
598	546	365
599	547	364
600	547	363
601	548	362
602	549	361
603	549	360
604	550	359
605	551	358
606	552	357
607	553	356
608	553	355
609	554	354
610	555	353
611	556	352
612	556	351
613	557	350
614	558	349
615	558	348
616	559	347
617	560	346
618	561	345
619	561	344
620	562	343
621	562	342
622	563	341
623	564	340
624	565	339
625	565	338
626	566	337
627	567	335
628	567	334
629	568	333
630	569	332
631	569	331
632	570	330
633	571	329
634	571	328
635	572	327
636	573	326
637	573	325
638	574	324
639	575	323
640	575	322
641	576	321
642	577	320
643	577	319
644	578	318
645	579	317
646	580	316
647	581	315
648	582	314
649	583	313
650	583	313
651	584	312
652	585	310
653	585	309
654	586	308
655	587	307
656	588	307
657	588	305
658	589	304
659	590	304
660	591	303
661	592	302
662	594	301
663	595	301
664	596	300
665	597	299
666	598	298
667	600	298
668	601	297
669	602	296
670	603	296
671	605	295
672	606	294
673	607	293
674	608	293
675	609	292
676	610	291
677	612	291
678	613	290
679	614	289
680	615	288
681	616	287
682	617	286
683	619	286
684	621	285
685	622	285
686	624	284
687	625	283
688	626	282
689	627	282
690	629	281
691	631	281
692	632	280
693	633	279
694	634	278
695	634	277
696	635	276
697	636	275
698	636	274
699	637	273
700	638	272
701	639	271
702	639	270
703	640	269
704	641	268
705	642	267
706	643	266
707	647	267
708	648	266
709	649	265
710	650	264
711	651	263
712	651	262
713	652	261
714	653	260
715	653	259
716	654	258
717	655	257
718	655	256
719	656	255
720	657	254
721	658	253
722	659	252
723	660	251
724	661	250
725	661	249
726	662	248
727	663	247
728	663	246
729	664	245
730	665	244
731	665	243
732	666	242
733	667	241
734	667	240
735	668	239
736	669	238
737	670	238
738	671	237
739	671	236
740	672	235
741	672	234
742	673	233
743	674	232
744	675	231
745	675	230
746	676	229
747	677	228
748	677	227
749	678	226
750	679	225
751	679	224
752	680	223
753	681	222
754	682	221
755	683	220
756	683	219
757	684	218
758	685	217
759	685	216
760	686	215
761	687	214
762	687	213
763	688	212
764	689	211
765	689	210
766	690	209
767	691	208
768	691	207
769	692	206
770	693	205
771	694	204
772	694	204
773	695	203
774	696	202
775	696	201
776	697	200
777	698	199
778	698	198
779	699	197
780	700	196
781	700	195
782	701	194
783	702	193
784	702	192
785	703	191
786	704	190
787	705	189
788	705	188
789	706	187
790	707	186
791	708	186
792	708	185
793	709	184
794	710	183
795	710	182
796	711	181
797	712	180
798	712	179
799	713	178
800	714	177
801	714	176
802	715	175
803	716	174
804	716	173
805	717	172
806	718	171
807	719	170
808	719	169
809	720	169
810	721	168
811	722	167
812	722	166
813	723	165
814	724	164
815	724	163
816	725	162
817	725	161
818	726	160
819	727	159
820	727	158
821	728	157
822	729	156
823	729	155
824	730	154
825	731	154
826	732	153
827	733	152
828	733	151
829	734	150
830	735	149
831	735	148
832	736	147
833	737	146
834	737	145
835	738	144
836	739	143
837	739	143
838	740	142
839	741	141
840	741	140
841	742	139
842	743	138
843	744	137
844	744	136
845	745	135
846	746	134
847	747	133
848	747	132
849	748	132
850	749	131
851	749	130
852	750	129
853	751	128
854	751	127
855	752	126
856	753	125
857	753	124
858	754	123
859	755	122
860	755	122
861	756	121
862	757	120
863	758	119
864	759	118
865	760	117
866	760	116
867	761	115
868	762	114
869	763	114
870	763	113
871	764	112
872	765	111
873	766	110
874	766	109
875	767	108
876	768	107
877	769	106
878	770	105
879	770	105
880	771	104
881	772	103
882	772	102
883	773	101
884	774	100
885	775	99
886	775	98
887	776	97
888	777	97
889	777	96
890	778	95
891	779	94
892	779	93
893	780	92
894	781	91
895	781	90
896	783	89
897	783	89
898	784	88
899	785	87
900	785	86
901	786	85
902	787	84
903	787	83
904	788	82
905	789	81
906	789	81
907	790	80
908	791	79
909	791	78
910	792	77
911	793	76
912	793	75
913	794	74
914	795	73
915	796	73
916	797	72
917	797	71
918	798	70
919	798	69
920	799	68
921	800	67
922	801	66
923	801	65
924	802	65
925	802	64
926	803	63
927	804	62
928	804	61
929	805	60
930	806	59
931	807	58
932	808	58
933	808	57
934	809	56
935	810	55
936	810	54
937	811	53
938	812	52
939	812	51
940	813	51
941	814	50
942	814	49
943	815	48
944	816	47
945	816	46
946	817	45
947	818	44
948	818	44
949	819	43
950	820	42
951	821	41
952	822	40
953	822	39
954	823	38
955	824	37
956	824	37
957	825	36
958	826	35
959	826	34
960	827	33
961	828	32
962	828	31
963	829	30
964	830	30
965	830	29
966	831	28
967	832	27
968	833	26
969	833	25
970	834	24
971	835	24
972	835	23
973	836	22
974	837	21
975	837	20
976	838	19
977	839	18
978	839	18
979	840	17
980	841	16
981	841	15
982	842	14
983	843	13
984	843	12
985	844	11
986	845	11
987	846	10
988	846	9
989	847	8
990	848	7
991	848	6
992	849	5
993	850	5
994	850	4
995	851	3
996	852	2
997	852	1
998	853	0
999	854	0
