iter	Passed	Remaining
0	124	124111
1	125	62452
2	126	41876
3	126	31576
4	127	25364
5	128	21218
6	128	18255
7	129	16034
8	129	14307
9	130	12925
10	131	11795
11	131	10862
12	132	10075
13	133	9400
14	134	8814
15	134	8297
16	135	7839
17	136	7456
18	137	7102
19	138	6777
20	139	6485
21	139	6214
22	140	5967
23	141	5766
24	142	5562
25	143	5368
26	143	5188
27	144	5020
28	145	4863
29	145	4719
30	146	4583
31	147	4455
32	148	4337
33	148	4224
34	149	4117
35	150	4018
36	150	3928
37	151	3839
38	152	3754
39	153	3672
40	153	3595
41	154	3528
42	155	3460
43	156	3393
44	156	3328
45	157	3266
46	158	3207
47	158	3151
48	159	3097
49	160	3044
50	160	2994
51	161	2945
52	162	2900
53	163	2857
54	163	2815
55	164	2778
56	165	2740
57	166	2701
58	166	2663
59	167	2625
60	168	2589
61	169	2557
62	169	2524
63	170	2491
64	171	2459
65	171	2429
66	172	2399
67	172	2366
68	173	2340
69	174	2314
70	174	2289
71	175	2267
72	176	2247
73	177	2224
74	178	2201
75	179	2178
76	179	2155
77	180	2133
78	181	2111
79	181	2091
80	182	2071
81	183	2050
82	183	2031
83	184	2011
84	184	1990
85	185	1972
86	186	1952
87	186	1935
88	187	1920
89	188	1904
90	189	1888
91	189	1873
92	190	1859
93	191	1844
94	192	1829
95	192	1814
96	193	1799
97	193	1785
98	194	1770
99	195	1758
100	196	1745
101	196	1729
102	197	1716
103	197	1703
104	198	1690
105	198	1678
106	199	1667
107	200	1656
108	201	1646
109	202	1636
110	202	1625
111	203	1615
112	204	1604
113	205	1595
114	205	1584
115	206	1573
116	207	1562
117	207	1552
118	208	1541
119	208	1532
120	209	1522
121	210	1513
122	210	1501
123	211	1492
124	211	1483
125	212	1475
126	213	1467
127	214	1458
128	214	1450
129	215	1442
130	216	1434
131	216	1426
132	217	1418
133	218	1410
134	218	1403
135	219	1395
136	220	1387
137	220	1379
138	221	1371
139	222	1364
140	222	1357
141	223	1350
142	224	1343
143	224	1336
